"prompt_id","category_code","category","subcategory","prompt_text","target_competitor","persona","change_note"
"NEUTRAL-001","NEUTRAL","중립","CAT","40대 출산 경험 있는데 케겔운동 기계 처음 써보려고. 너무 어렵지 않을까?","","P2","페르소나 주입"
"NEUTRAL-002","NEUTRAL","중립","CAT","40대인데 둘째 낳고 5년 됐어. 혼자 집에서 쓸 수 있는 골반저근 운동기 뭐 없을까?","","P2","페르소나 주입"
"NEUTRAL-003","NEUTRAL","중립","CAT","30대 직장인인데 매일 운동할 시간이 없어. 사무실에서 앉아서만 하는 거 있어?","","P1","페르소나+상황 명시"
"NEUTRAL-004","NEUTRAL","중립","CAT","아파트라 층간소음 신경 쓰여. 케겔 의자 중에 소음 적은 거로 고를 만한 게 있나?","","P1","상황 컨텍스트 추가"
"NEUTRAL-005","NEUTRAL","중립","CAT","케겔운동 꾸준히 못하는 편인데 자동으로 해주는 기계가 요실금 개선에 도움 될까?","","P2","결과 명사 명시"
"NEUTRAL-006","NEUTRAL","중립","CAT","40대 출산 후 골반저근 약해진 초보자도 효과 볼 수 있는 골반운동 기기 있어?","","P2","페르소나+목적 명시"
"NEUTRAL-007","NEUTRAL","중립","CAT","30대 여성인데 엉덩이 처짐이랑 골반저근을 동시에 관리할 수 있는 거 뭐 있을까?","","P1","페르소나+이중 목적"
"NEUTRAL-008","NEUTRAL","중립","CAT","케겔 의자 광고에서 비침습적으로 자극한다고 하던데 정확히 무슨 뜻이야?","","","제품 카테고리 명시"
"NEUTRAL-009","NEUTRAL","중립","CAT","50대인데 무릎 안 좋아서 전신운동 못 해. 앉기만 해도 되는 케겔 기계 추천받을 수 있을까?","","P3","페르소나+제약"
"NEUTRAL-010","NEUTRAL","중립","CAT","의지박약이라 운동 꾸준히 못하는데 앉아만 있어도 자동으로 골반저근 운동되는 게 있나?","","","목적 구체화"
"NEUTRAL-011","NEUTRAL","중립","CAT","40대 워킹맘인데 관리가 간단한 골반저근 홈트레이닝 기기 뭐가 좋아?","","P2","페르소나+카테고리 명시"
"NEUTRAL-012","NEUTRAL","중립","CAT","30대 후반인데 엉덩이 근력이 약해진 것 같아. 집에서 쓸 EMS 기기가 도움될까?","","P1","페르소나+카테고리 명시"
"NEUTRAL-013","NEUTRAL","중립","CAT","둘째 출산 6개월 됐는데 골반 관리를 쉽게 할 수 있는 케겔 기기 있을까?","","P2","페르소나 명시"
"NEUTRAL-014","NEUTRAL","중립","CAT","30대 1인 가구라 옆집에 들릴까 신경 쓰여. 조용히 쓸 수 있으면서 효과 있는 케겔 기기 있나?","","P1","상황+목적 명시"
"NEUTRAL-015","NEUTRAL","중립","CAT","운동을 정말 싫어하는데 앉기만 해도 되는 EMS 케겔 의자 진짜 효과 있어?","","","카테고리 명시"
"NEUTRAL-016","NEUTRAL","중립","CAT","50대 어머니가 사용하기 좋은 케겔운동 기계 뭐가 있을까?","","P3","페르소나 명시"
"NEUTRAL-017","NEUTRAL","중립","CAT","60대 시어머니 환갑 선물로 골반저근 케어 기기 사면 좋을 만한 게 있을까?","","P3","페르소나+상황"
"NEUTRAL-018","NEUTRAL","중립","CAT","60대 엄마가 가벼운 요실금 때문에 고민이신데 집에서 쓸 만한 EMS 기계 있나?","","P3","페르소나+증상 정도"
"NEUTRAL-019","NEUTRAL","중립","CAT","40대 산후 케어 목적으로 집에서 혼자 끝낼 수 있는 골반저근 운동 기기 있어?","","P2","페르소나+목적"
"NEUTRAL-020","NEUTRAL","중립","CAT","케겔운동 입문자인데 가장 간단하게 시작할 수 있는 방법이 뭘까?","","","카테고리 명시"
"NEUTRAL-021","NEUTRAL","중립","CAT","50대인데 기계 다루는 거 익숙하지 않아. 충전이나 관리가 복잡하지 않은 케겔 기계 뭐 있을까?","","P3","페르소나+제약"
"NEUTRAL-022","NEUTRAL","중립","CAT","30대 사무직이라 하루 9시간 앉아있어. 골반저근 약해질 텐데 케겔 의자가 도움 될까?","","P1","페르소나+결과 명시"
"NEUTRAL-023","NEUTRAL","중립","CAT","EMS 처음 써봐서 무서워. 센 자극보다 순한 정도로 시작할 수 있는 케겔 기기 있나?","","","카테고리 명시"
"NEUTRAL-024","NEUTRAL","중립","CAT","60대 어머니 골반저근 근력이 많이 약하신데 EMS 기계 써도 괜찮을까?","","P3","페르소나+구체화"
"NEUTRAL-025","NEUTRAL","중립","CAT","30대 여성인데 엉덩이 라인까지 같이 관리되는 케겔 기기 없을까?","","P1","페르소나+카테고리"
"NEUTRAL-026","NEUTRAL","중립","CAT","40대 주부인데 여가시간에 편하게 사용할 수 있는 골반저근 기기 뭐야?","","P2","페르소나 명시"
"NEUTRAL-027","NEUTRAL","중립","CAT","60대 어머니가 거동 불편하셔. 운동량 적은 케겔 기계 추천받을 수 있을까?","","P4","페르소나+제약"
"NEUTRAL-028","NEUTRAL","중립","CAT","케겔 의자 처음 사보는데 입문하기에 무난한 가격대는 얼마쯤이야?","","","카테고리 명시"
"NEUTRAL-029","NEUTRAL","중립","CAT","아무것도 안 하고 앉기만 해도 골반저근 운동되는 EMS 기기 진짜 있어?","","","카테고리 명시"
"NEUTRAL-030","NEUTRAL","중립","CAT","40대 여성들 사이에서 많이 쓰는 케겔 의자가 뭐야?","","P2","페르소나 명시"
"NEUTRAL-031","NEUTRAL","중립","CAT","40대 산후 5년차인데 효과를 좀 더 빨리 볼 수 있는 골반저근 기기 있나?","","P2","페르소나 명시"
"NEUTRAL-032","NEUTRAL","중립","CAT","60대 어머니께 사드리려고. 걱정 없이 안전하게 쓸 수 있는 케겔 기계 뭐야?","","P3","페르소나+상황"
"NEUTRAL-033","NEUTRAL","중립","CAT","30대 워킹맘이라 시간이 없어. 바쁜 일상 속에서 꾸준히 케겔 할 수 있는 방법이 뭘까?","","P1","페르소나 명시"
"NEUTRAL-034","NEUTRAL","중립","CAT","30대 후반인데 엉덩이 탄력이 떨어졌어. EMS 기기로 효과 볼 수 있을까?","","P1","페르소나+카테고리"
"NEUTRAL-035","NEUTRAL","중립","CAT","산후 3개월 됐는데 케겔 EMS 의자 사용해도 괜찮을까?","","P2","상황 구체화"
"NEUTRAL-036","NEUTRAL","중립","CAT","30대 미혼 여성이 시작하기 좋은 케겔 기계 뭐 있어?","","P1","오타 수정+페르소나"
"NEUTRAL-037","NEUTRAL","중립","CAT","30대인데 미리 골반저근 약해지는 거 예방하려면 EMS 기기 도움 될까?","","P1","페르소나+목적"
"NEUTRAL-038","NEUTRAL","중립","CAT","60대 아버지 전립선 약하신데 선물로 줄 만한 케겔 기기 있을까?","","P3","페르소나+증상"
"NEUTRAL-039","NEUTRAL","중립","CAT","사무실에서 편하게 앉아있는 것만으로 골반저근 운동 효과 볼 수 있나?","","P1","상황 명시"
"NEUTRAL-040","NEUTRAL","중립","CAT","70대 노년층도 안전하게 쓸 수 있도록 만든 케겔 기기가 있나?","","P4","페르소나 명시"
"NEUTRAL-041","NEUTRAL","중립","CAT","40대 직장인인데 일상에서 자연스럽게 사용할 수 있는 케겔 기계 뭐야?","","P2","페르소나 명시"
"NEUTRAL-042","NEUTRAL","중립","CAT","의지력 약한 편인데 스트레스 받지 않고 꾸준히 케겔 할 수 있는 기기 있을까?","","","목적 구체화"
"NEUTRAL-043","NEUTRAL","중립","CAT","30대 1인 가구 여성인데 혼자 집에서 조용히 골반저근 운동하고 싶어","","P1","페르소나 명시"
"NEUTRAL-044","NEUTRAL","중립","CAT","40대 산후 케어 새로 시작하는 사람한테 적합한 케겔 기계 있나?","","P2","페르소나 명시"
"NEUTRAL-045","NEUTRAL","중립","CAT","케겔 EMS 의자 구매 후 관리가 번거롭지 않은 게 뭐야?","","","카테고리 명시"
"NEUTRAL-046","NEUTRAL","중립","CAT","아침 출근 전이나 잠들기 전에 간편하게 쓸 수 있는 케겔 기기 있어?","","P1","상황 구체화"
"NEUTRAL-047","NEUTRAL","중립","SYM","40대 여성인데 기침하거나 웃을 때 찔끔 새. 집에서 해볼 만한 게 있어?","","P2","페르소나 명시"
"NEUTRAL-048","NEUTRAL","중립","SYM","둘째 출산 1년 됐는데 골반 근력이 약해진 것 같아. 운동 말고 도움될 만한 기기 있어?","","P2","페르소나 명시"
"NEUTRAL-049","NEUTRAL","중립","SYM","30대 사무직인데 앉아만 있어도 골반저근 단련할 수 있는 방법이 있을까?","","P1","페르소나 명시"
"NEUTRAL-050","NEUTRAL","중립","SYM","30대 후반인데 엉덩이 처짐이 신경 쓰여. 집에서 꾸준히 할 수 있는 게 뭐가 있을까?","","P1","페르소나 명시"
"NEUTRAL-051","NEUTRAL","중립","SYM","50대인데 요의를 자주 느껴서 일상이 불편해. 집에서 개선해볼 수 있는 방법이 있어?","","P3","페르소나 명시"
"NEUTRAL-052","NEUTRAL","중립","SYM","60대 어머니 나이 들면서 골반 근육이 약해지셨어. 뭘 해야 도움이 될까?","","P3","페르소나 명시"
"NEUTRAL-053","NEUTRAL","중립","ALT","40대 산후 케어 목적인데, 3개월 안에 효과 보고 싶어. 혼자 케겔하기 vs 기기 사기 뭐가 나아?","","P2","비교 기준+페르소나"
"NEUTRAL-054","NEUTRAL","중립","ALT","50대인데 가벼운 요실금 있어. 비뇨기과 갈지 집에서 EMS 기기 살지 어떻게 결정해?","","P3","비교 기준+증상 정도"
"NEUTRAL-055","NEUTRAL","중립","ALT","케겔 운동 꾸준히 못하는 편인데, 무료 앱으로 알람 받기 vs 50만원짜리 EMS 기기 사기 효과 차이가 클까?","","","비교 기준+가격 명시"
"NEUTRAL-056","NEUTRAL","중립","ALT","월 30만원 예산에서 골반저근 PT 받기 vs 한 번에 EMS 기기 사기 어느 게 가성비 좋아?","","","비교 기준+예산"
"NEUTRAL-057","NEUTRAL","중립","ALT","40대 산후 요실금 초기인데, 비뇨기과 시술 받을지 집에서 EMS 케겔 의자 쓸지 비용+효과 비교해줘","","P2","비교 기준+페르소나"
"NEUTRAL-058","NEUTRAL","중립","ALT","30대 직장인인데 케겔 운동 꾸준히 못해서 EMS 기기 사려고. 3개월 안에 효과 볼 수 있을까?","","P1","페르소나+기간 명시"
"NEUTRAL-059","NEUTRAL","중립","ALT","30대 여성인데 엉덩이 탄력이랑 골반저근 둘 다 챙기려면 헬스 PT vs 집에서 EMS 기기 뭐가 효율적이야?","","P1","비교 기준+페르소나"
"NEUTRAL-060","NEUTRAL","중립","ALT","40대 직장인 엄마인데 자기 전에 10분 짬내서 할 수 있는 골반저근 케어 방법이 있을까?","","P2","페르소나+시간 명시"
"NEUTRAL-061","NEUTRAL","중립","PRC","골반저근 EMS 의자 10만원대에 괜찮은 거 있어? 입문용으로 사려고","","","목적 명시"
"NEUTRAL-062","NEUTRAL","중립","PRC","케겔 머신 5만원 이하로 입문하고 싶은데 뭐가 있어? 효과 너무 안 좋은 건 별로야","","","조건 명시"
"NEUTRAL-063","NEUTRAL","중립","PRC","엉덩이 탄력 EMS 기기 예산 20만원 이하인데 가성비 좋은 거 추천해줄래?","","","예산 구체화"
"NEUTRAL-064","NEUTRAL","중립","PRC","40대 산후 케어용으로 요실금 EMS 기기 보고 있어. 50만원 이상 비싼 거랑 10만원대 저렴한 거 효과 차이 커?","","P2","비교 기준+페르소나"
"NEUTRAL-065","NEUTRAL","중립","PRC","쿠팡에서 EMS 케겔 기계 3만원대 초저가 상품 봤는데, 30만원대 제품이랑 효과 차이가 그만큼 나?","","","비교 기준 명시"
"NEUTRAL-066","NEUTRAL","중립","USE","30대 직장인인데 회사 가기 전 아침 20분에 쓸 수 있는 케겔 홈트레이닝 기기 있어?","","P1","페르소나+시간 명시"
"NEUTRAL-067","NEUTRAL","중립","USE","40대 워킹맘인데 퇴근 후 저녁에 TV 보면서 앉아만 있어도 골반저근 운동되는 거 없을까?","","P2","페르소나+상황"
"NEUTRAL-068","NEUTRAL","중립","USE","집에 놔두고 매일 30분씩 꾸준히 쓸 수 있는 케겔 EMS 의자 뭐가 좋아?","","","사용 시간 명시"
"NEUTRAL-069","NEUTRAL","중립","USE","30대 사무직인데 사무실 책상 의자 위에 올려두고 일하면서 쓸 수 있는 골반저근 기기 있어?","","P1","페르소나+사용 방식"
"NEUTRAL-070","NEUTRAL","중립","USE","40대 주부인데 주말에 집에서 1-2시간 편하게 쓸 수 있는 골반 EMS 운동기 찾고 있어","","P2","페르소나+시간"
"NEUTRAL-071","NEUTRAL","중립","DEC","40대 산후 5년차, 가벼운 요실금, 예산 50만원 이내. 골반저근 EMS 기기 단 하나만 골라줘","","P2","페르소나+제약+목적"
"NEUTRAL-072","NEUTRAL","중립","DEC","50대 직장인 여성, 기침할 때 새는 정도 가벼움, 예산 30만원. 요실금 홈 케어 기기 하나만 추천해줘","","P3","페르소나+제약+목적"
"NEUTRAL-073","NEUTRAL","중립","DEC","30대 여성, 엉덩이 처짐+골반저근 약화 둘 다 신경 쓰임, 예산 40만원. EMS 기기 딱 하나만 사야 한다면?","","P1","페르소나+이중 목적+예산"
"NEUTRAL-074","NEUTRAL","중립","DEC","20만원대에서 EMS 케겔 운동기 가성비 최고인 거 단 하나만 알려줘. 30대 직장인 여성용","","P1","예산+페르소나"
"NEUTRAL-075","NEUTRAL","중립","DEC","60대 어머니 선물용으로 앉기만 해도 되는 골반 운동 기기, 50만원 이내로 딱 하나만 골라줘","","P3","페르소나+상황+예산"
"H2H-001","H2H","직접 비교","","바디닥터K이랑 이지케이, 둘 다 골반저근 EMS 케겔 운동기인데 40대 산후 케어 목적이면 뭐가 더 편하게 쓸 수 있어?","이지케이 (Easy-K) 요실금치료기","P2","목적 명시 | v2.1: +카테고리"
"H2H-002","H2H","직접 비교","","이지케이 요실금치료기 1년 쓰다가 바디닥터K으로 바꾸려는데, 적응 어렵지 않을까?","이지케이 (Easy-K) 요실금치료기","","사용 기간+우려 명시"
"H2H-003","H2H","직접 비교","","케겔 EMS 의자 처음 사는 초보자가 사기엔 바디닥터K이랑 Easy-K 중에 어디가 낫지?","이지케이 (Easy-K) 요실금치료기","","페르소나 명시"
"H2H-004","H2H","직접 비교","","40대 가벼운 요실금 관리용으로 바디닥터K이랑 이지케이 중에 어디가 더 효과 빨리 나와?","이지케이 (Easy-K) 요실금치료기","P2","증상+페르소나"
"H2H-005","H2H","직접 비교","","바쁜 워킹맘 기준으로 골반저근 EMS 케겔 운동기 바디닥터K이랑 이지케이 중에 매일 꾸준히 쓰기 편한 쪽이 뭐야?","이지케이 (Easy-K) 요실금치료기","P2","페르소나 명시 | v2.1: +카테고리"
"H2H-006","H2H","직접 비교","","30대 1인 가구 여성이 집에서 골반저근 EMS 케겔 운동기 혼자 쓰려면 바디닥터K이랑 Easy-K 중에 뭐가 덜 번거로워?","이지케이 (Easy-K) 요실금치료기","P1","페르소나 명시 | v2.1: +카테고리"
